Stock,Date,Open,High,Low,Close,Adj Close,Volume
AAPL,14-Apr-22,170.62,171.27,165.04,165.29,165.29,"75,237,500"
AAPL,13-Apr-22,167.39,171.04,166.77,170.4,170.4,"70,618,900"
AAPL,12-Apr-22,168.02,169.87,166.64,167.66,167.66,"79,265,200"
AAPL,11-Apr-22,168.71,169.03,165.5,165.75,165.75,"72,246,700"
AAPL,8-Apr-22,171.78,171.78,169.2,170.09,170.09,"76,515,900"
AAPL,7-Apr-22,171.16,173.36,169.85,172.14,172.14,"77,594,700"
AAPL,6-Apr-22,172.36,173.63,170.13,171.83,171.83,"89,058,800"
AAPL,5-Apr-22,177.5,178.3,174.42,175.06,175.06,"73,401,800"
AAPL,4-Apr-22,174.57,178.49,174.44,178.44,178.44,"76,468,400"
AAPL,1-Apr-22,174.03,174.88,171.94,174.31,174.31,"78,699,800"
AAPL,31-Mar-22,177.84,178.03,174.4,174.61,174.61,"103,049,300"
AAPL,30-Mar-22,178.55,179.61,176.7,177.77,177.77,"92,633,200"
AAPL,29-Mar-22,176.69,179.01,176.34,178.96,178.96,"100,589,400"
AAPL,28-Mar-22,172.17,175.73,172,175.6,175.6,"90,371,900"
AAPL,25-Mar-22,173.88,175.28,172.75,174.72,174.72,"80,546,200"
AAPL,24-Mar-22,171.06,174.14,170.21,174.07,174.07,"90,131,400"
AAPL,23-Mar-22,167.99,172.64,167.65,170.21,170.21,"98,062,700"
AAPL,22-Mar-22,165.51,169.42,164.91,168.82,168.82,"81,532,000"
AAPL,21-Mar-22,163.51,166.35,163.01,165.38,165.38,"95,811,400"
AAPL,18-Mar-22,160.51,164.48,159.76,163.98,163.98,"123,511,700"
AAPL,17-Mar-22,158.61,161,157.63,160.62,160.62,"75,615,400"
AAPL,16-Mar-22,157.05,160,154.46,159.59,159.59,"102,300,200"
AAPL,15-Mar-22,150.9,155.57,150.38,155.09,155.09,"92,964,300"
AAPL,14-Mar-22,151.45,154.12,150.1,150.62,150.62,"108,732,100"
AAPL,11-Mar-22,158.93,159.28,154.5,154.73,154.73,"96,970,100"
AAPL,10-Mar-22,160.2,160.39,155.98,158.52,158.52,"105,342,000"
